"input" "filtered" "tabled" "nonchim"
"LW166-Extraction1" 66290 48098 47709 47630
"LW167-Extraction2" 46300 34080 33645 33494
"LW168-Extraction3" 34601 21094 20995 20921
"LW169-Extraction4" 29810 19852 19727 19727
"LW170-Extraction19" 106085 80346 77958 77381
"LW171-Extraction6" 90165 71397 71018 70932
"LW172-Extraction181" 144032 110082 109246 108725
"LW173-Extraction182" 134847 104995 104464 104308
"LW174-Extraction183" 146165 112806 112313 112110
"LW175-Extraction184" 149375 117952 117261 116818
"LW176-Extraction185" 136273 104197 103631 103434
"LW177-Extraction186" 98686 78523 78214 78177
"LW178-Extraction187" 122034 97815 97086 97075
"LW179-Extraction188" 142925 117983 117451 117217
"LW180-Extraction189" 71265 53538 53355 53235
"LW181-Extraction190" 123360 100493 99870 99711
"LW182-Extraction191" 55562 43002 42832 42832
"LW183-Extraction192" 39737 28894 28585 28582
"LW184-Extraction208" 21692 16038 15939 15939
"LW185-Extraction209" 16412 12295 12273 12273
"LW186-Extraction210" 23496 17492 17409 17097
"LW187-Extraction211" 54697 43261 43160 43160
"LW188-Extraction212" 40289 30460 30382 30382
"LW189-Extraction213" 17782 13646 13601 13601
"LW190-Extraction17" 123626 94124 91134 90626
"LW191-Extraction18" 127706 98702 95961 95403
"LW2-Extraction118" 143680 111262 109717 108632
"LW21-Extraction53" 29419 21446 21390 21390
"LW22-Extraction54" 102404 81528 81217 81092
"LW23-Extraction55" 14679 10737 10725 10713
"LW24-Extraction56" 105243 84701 84355 84317
"LW25-Extraction57" 106047 83855 83615 83514
"LW26-Extraction58" 114009 89809 89548 89545
"LW28-Extraction65" 64857 51110 50998 50998
"LW29-Extraction66" 86633 53316 52886 52168
"LW3-Extraction119" 176235 137694 136207 133903
"LW30-Extraction67" 139940 109377 108915 107706
"LW31-Extraction73" 10422 7602 7569 7515
"LW32-Extraction74" 11590 8151 8054 8054
"LW33-Extraction173" 29022 16618 16453 16287
"LW34-Extraction71" 32023 11326 11265 11265
"LW35-Extraction70" 30571 23920 23900 23887
"LW36-Extraction72" 15414 10190 10107 10107
"LW37-Extraction20" 24506 9027 8992 8992
"LW4-Extraction120" 145637 114682 113869 113558
"LW40-Extraction60" 15734 8712 8655 8621
"LW41-Extraction61" 10546 7343 7246 7246
"LW42-Extraction62" 8565 4590 4550 4550
"LW43-Extraction63" 13680 9079 8986 8986
"LW44-Extraction64" 14469 10274 10219 10219
"LW47-Extraction79" 14053 10242 10190 10190
"LW48-Extraction80" 10825 6428 6403 6403
"LW5-Extraction121" 129533 103020 102186 101713
"LW50-Extraction84" 11060 5895 5837 5769
"LW51-Extraction75" 13257 9430 9415 9413
"LW52-Extraction77" 6665 4457 4365 4365
"LW54-Extraction81" 7157 3861 3846 3791
"LW56-Extraction86" 27175 14015 13909 13909
"LW57-Extraction156" 66276 49685 49434 49432
"LW58-Extraction157" 61388 47135 46929 46929
"LW59-Extraction158" 120811 96521 95993 95086
"LW6-Extraction122" 105388 78457 76518 75658
"LW60-Extraction159" 104980 81347 80292 79935
"LW61-Extraction160" 74791 57361 56768 56599
"LW62-Extraction161" 76262 58430 57698 57599
"LW63-Extraction162" 75780 58899 58419 58387
"LW64-Extraction163" 51613 38159 37751 37733
"LW65-Extraction164" 12852 9043 8869 8869
"LW66-Extraction165" 17179 12301 12154 12154
"LW67-Extraction166" 10781 7986 7856 7829
"LW68-Extraction167" 18326 12949 12794 12794
"LW69-Extraction22" 9121 6760 6718 6718
"LW7-Extraction123" 136634 110920 110439 110099
"LW70-Extraction25" 10352 5919 5863 5825
"LW71-Extraction26" 7461 5490 5423 5423
"LW72-Extraction99" 22392 1322 1295 1295
"LW73-Extraction100" 155618 121947 121402 120144
"LW74-Extraction113" 11000 7699 7413 7413
"LW75-Extraction114" 153187 120873 119498 111467
"LW76-Extraction115" 205586 160592 160375 160095
"LW77-Extraction87" 206812 161858 160493 148348
"LW78-Extraction88" 211803 167684 166959 163634
"LW79-Extraction89" 215816 170748 167463 154258
"LW8-Extraction124" 119927 90815 90540 90511
"LW80-Extraction90" 178945 134522 132244 119735
"LW81-Extraction91" 156195 124256 122671 112306
"LW82-Extraction92" 9928 5234 5213 5183
"LW83-Extraction93" 159910 127094 127024 127024
"LW84-Extraction94" 26323 15992 15941 15941
"LW85-Extraction95" 11777 2986 2938 2936
"LW87-Extraction97" 9270 2868 2740 2740
"LW88-Extraction98" 8992 6273 6170 6170
"LW9-Extraction125" 100637 77816 76967 76522
