"input" "filtered" "tabled" "nonchim"
"LW1-Extraction117" 157499 129120 128273 127552
"LW10-Extraction126" 145087 117361 116283 115882
"LW100-Extraction101" 84332 66708 66505 66501
"LW101-Extraction102" 91213 69938 69797 69735
"LW102-Extraction105" 49550 38164 37734 37734
"LW103-Extraction106" 63989 50583 50461 50461
"LW104-Extraction108" 57705 44916 44797 44797
"LW105-Extraction116" 71767 57056 56907 56904
"LW106-Extraction103" 24645 18480 18391 18391
"LW107-Extraction104" 91451 73879 73694 73612
"LW108-Extraction107" 81886 64958 64763 64763
"LW109-Extraction109" 153137 117895 117314 112485
"LW110-Extraction127" 101634 79021 78381 77336
"LW111-Extraction128" 43361 33337 33132 33132
"LW112-Extraction129" 87728 65227 65046 65041
"LW113-Extraction130" 44602 35166 35063 35063
"LW114-Extraction131" 14900 11186 11182 11179
"LW115-Extraction112" 28404 18796 18607 18514
"LW118-Extraction136" 10484 6932 6839 6839
"LW119-Extraction137" 6375 3257 3209 3209
"LW120-Extraction139" 48379 36378 35285 34567
"LW122-Extraction141" 6781 4797 4740 4740
"LW123-Extraction142" 25510 17646 17491 17491
"LW125-Extraction133" 19448 14448 14314 14314
"LW126-Extraction151" 11627 6980 6789 6789
"LW127-Extraction152" 7741 4133 4060 4060
"LW128-Extraction153" 23303 13456 13390 13390
"LW129-Extraction154" 6356 4644 4637 4637
"LW132-Extraction149" 46250 33688 33633 33633
"LW133-Extraction147" 12214 3763 3696 3696
"LW151-Extraction172" 24438 17736 17572 17389
"LW154-Extraction176" 115504 90424 89431 89179
"LW155-Extraction178" 204817 172832 171513 168953
"LW156-Extraction180" 173134 140261 138620 137974
"LW157-Extraction175" 136400 108709 107623 107328
"LW158-Extraction177" 263567 221354 220843 220782
"LW159-Extraction179" 224744 189741 189224 188396
"LW160-Extraction132" 90257 67591 67448 67433
"LW161-Extraction110" 43903 34293 34185 34185
"LW162-Extraction111" 55249 42071 41983 41983
"LW163-Extraction138" 6164 4396 4365 4365
"LW165-Extraction155" 14152 7416 7347 7347
