"input" "filtered" "tabled" "nonchim"
"LW11-29" 114465 34600 33585 31736
"LW116-134" 247729 5917 5706 5604
"LW117-135" 211143 26214 24931 20334
"LW119-137" 140603 27968 26420 21574
"LW12-30" 77742 60984 60005 53306
"LW121-140" 199149 368 285 285
"LW124-143" 210916 12142 11806 11251
"LW127-152" 177589 1121 955 955
"LW129-154" 142695 61482 58217 45027
"LW13-31" 158959 132677 107199 60053
"LW130-145" 207064 451 290 290
"LW131-146" 197487 261 162 162
"LW134-148" 198310 5802 5503 5460
"LW135-150" 132021 17345 16843 16520
"LW136-49" 74326 61607 59779 52522
"LW137-50" 113466 95926 91738 67084
"LW138-51" 69930 57802 54875 46351
"LW139-52" 88308 75990 74095 61004
"LW14-32" 166813 65757 61551 48923
"LW140-85" 32358 26233 26114 26114
"LW141-39" 104450 86404 76839 42627
"LW142-40" 101132 84132 72114 53834
"LW143-41" 100014 58385 55645 41438
"LW144-42" 74739 63327 60168 47862
"LW145-43" 75870 64480 60692 46311
"LW146-44" 65917 49165 48023 43602
"LW147-45" 76067 62588 59953 47545
"LW148-46" 79242 55230 52618 44151
"LW149-47" 120346 101762 92564 58398
"LW15-33" 63770 53421 51284 44966
"LW150-48" 67701 55847 55346 53926
"LW152-169" 96107 80026 76535 58835
"LW153-170" 63555 51276 48627 41539
"LW16-34" 70701 58990 57675 49649
"LW163-138" 144914 14120 13365 12189
"LW164-144" 143185 22336 20834 19381
"LW17-35" 83544 65986 62612 49436
"LW18-36" 76225 63690 61120 53197
"LW19-37" 155581 66874 63220 46640
"LW20-38" 73855 36798 36029 34826
"LW27-69" 212006 40992 39970 37151
"LW38-214" 136347 70871 64795 41158
"LW39-59" 159121 53469 49068 37372
"LW45-68" 134143 50214 46507 38250
"LW46-76" 157240 21352 20377 16549
"LW49-83" 127514 43794 41478 30797
"LW52-77" 219175 32769 30953 27578
"LW53-78" 245651 13843 13335 13077
"LW54-81" 207543 26681 24922 20490
"LW55-82" 190139 38184 35679 27558
"LW86-96" 266845 329 201 201
"LW87-97" 199107 285 175 175
"LW89-27" 93623 76977 68690 51668
"LW90-28" 87138 69197 65269 47716
"LW91-21" 122864 104492 87414 57477
"LW92-9" 113734 91304 83807 57133
"LW93-10" 143282 40592 39295 36128
"LW94-11" 76443 64667 63591 60698
"LW95-12" 92799 78369 74358 62602
"LW97-13" 81885 61320 58043 46532
"LW98-14" 10475 6386 6269 6255
"LW99-15" 68924 57383 54219 47461
