file	initial	qFiltered	lFiltered	forwardFiltered	reverseFiltered	final	qFilteredPercent	lFilteredPercent	forwardFilteredPercent	reverseFilteredPercent	finalPercent
LW6-Extraction122_S61_L001.assembled.fastq	103924	9120	35	NA	NA	94769	8.8	0.0	NA	NA	91.2
LW70-Extraction25_S69_L001.assembled.fastq	7842	875	39	NA	NA	6928	11.2	0.5	NA	NA	88.3
LW71-Extraction26_S81_L001.assembled.fastq	7140	662	12	NA	NA	6466	9.3	0.2	NA	NA	90.6
LW72-Extraction99_S93_L001.assembled.fastq	2106	373	142	NA	NA	1591	17.7	6.7	NA	NA	75.5
LW73-Extraction100_S10_L001.assembled.fastq	154036	15371	23	NA	NA	138642	10.0	0.0	NA	NA	90.0
LW74-Extraction113_S22_L001.assembled.fastq	10589	1412	39	NA	NA	9138	13.3	0.4	NA	NA	86.3
LW75-Extraction114_S34_L001.assembled.fastq	151529	13000	19	NA	NA	138510	8.6	0.0	NA	NA	91.4
LW76-Extraction115_S46_L001.assembled.fastq	203412	19329	11	NA	NA	184072	9.5	0.0	NA	NA	90.5
LW77-Extraction87_S58_L001.assembled.fastq	205273	10702	33	NA	NA	194538	5.2	0.0	NA	NA	94.8
LW78-Extraction88_S70_L001.assembled.fastq	210539	10804	4	NA	NA	199731	5.1	0.0	NA	NA	94.9
LW79-Extraction89_S82_L001.assembled.fastq	214651	11714	13	NA	NA	202924	5.5	0.0	NA	NA	94.5
LW7-Extraction123_S73_L001.assembled.fastq	135230	8806	91	NA	NA	126333	6.5	0.1	NA	NA	93.4
LW80-Extraction90_S94_L001.assembled.fastq	177459	14263	8	NA	NA	163188	8.0	0.0	NA	NA	92.0
LW81-Extraction91_S11_L001.assembled.fastq	155263	8721	11	NA	NA	146531	5.6	0.0	NA	NA	94.4
LW82-Extraction92_S23_L001.assembled.fastq	7062	869	40	NA	NA	6153	12.3	0.6	NA	NA	87.1
LW83-Extraction93_S35_L001.assembled.fastq	158751	13048	5	NA	NA	145698	8.2	0.0	NA	NA	91.8
LW84-Extraction94_S47_L001.assembled.fastq	21173	1974	113	NA	NA	19086	9.3	0.5	NA	NA	90.1
LW85-Extraction95_S59_L001.assembled.fastq	4152	524	63	NA	NA	3565	12.6	1.5	NA	NA	85.9
LW87-Extraction97_S83_L001.assembled.fastq	3950	534	42	NA	NA	3374	13.5	1.1	NA	NA	85.4
LW88-Extraction98_S95_L001.assembled.fastq	8297	1006	20	NA	NA	7271	12.1	0.2	NA	NA	87.6
LW8-Extraction124_S85_L001.assembled.fastq	111098	8147	99	NA	NA	102852	7.3	0.1	NA	NA	92.6
LW9-Extraction125_S2_L001.assembled.fastq	98342	7672	82	NA	NA	90588	7.8	0.1	NA	NA	92.1
