"input" "filtered" "tabled" "nonchim"
"LW1-Extraction117" 157499 157021 140277 139739
"LW10-Extraction126" 145087 144667 125125 124885
"LW100-Extraction101" 84332 84318 12305 12305
"LW101-Extraction102" 91213 91071 25480 25480
"LW102-Extraction105" 49550 49421 18461 18450
"LW103-Extraction106" 63989 63733 20789 20789
"LW104-Extraction108" 57705 57213 9833 9833
"LW105-Extraction116" 71767 71137 10617 10617
"LW106-Extraction103" 24645 23941 6792 6792
"LW107-Extraction104" 91451 91254 70287 70287
"LW108-Extraction107" 81886 81699 11133 11133
"LW109-Extraction109" 153137 152975 34493 32896
"LW110-Extraction127" 101634 101593 24461 23928
"LW111-Extraction128" 43361 43301 9731 9731
"LW112-Extraction129" 87728 87494 11579 11579
"LW113-Extraction130" 44602 44168 8739 8739
"LW114-Extraction131" 14900 14803 4415 4415
"LW115-Extraction112" 28404 24754 16252 16178
"LW118-Extraction136" 10484 9350 5664 5664
"LW119-Extraction137" 6375 4730 2226 2226
"LW120-Extraction139" 48379 48256 26547 26254
"LW122-Extraction141" 6781 6509 2927 2925
"LW123-Extraction142" 25510 23243 10197 10197
"LW125-Extraction133" 19448 19209 11201 11201
"LW126-Extraction151" 11627 9647 5145 5145
"LW127-Extraction152" 7741 5791 3041 3041
"LW128-Extraction153" 23303 19010 10522 10522
"LW129-Extraction154" 6356 6202 4044 4044
"LW132-Extraction149" 46250 43711 12038 12038
"LW133-Extraction147" 12214 5828 3962 3962
"LW151-Extraction172" 24438 23469 16034 15884
"LW154-Extraction176" 115504 114629 90257 90081
"LW155-Extraction178" 204817 204439 195385 193055
"LW156-Extraction180" 173134 172538 152278 151898
"LW157-Extraction175" 136400 134527 103426 103338
"LW158-Extraction177" 263567 263139 259752 259748
"LW159-Extraction179" 224744 224389 219045 218475
"LW160-Extraction132" 90257 86574 16814 16814
"LW161-Extraction110" 43903 43401 7200 7200
"LW162-Extraction111" 55249 54192 9818 9818
"LW163-Extraction138" 6164 5865 3139 3139
"LW165-Extraction155" 14152 10352 4531 4531
"LW166-Extraction1" 66290 65109 39327 39288
"LW167-Extraction2" 46300 45620 29330 29330
"LW168-Extraction3" 34601 28825 16643 16643
"LW169-Extraction4" 29810 27128 15456 15456
"LW170-Extraction19" 106085 105870 73553 73276
"LW171-Extraction6" 90165 89378 72595 72510
"LW172-Extraction181" 144032 143336 104992 104716
"LW173-Extraction182" 134847 133696 104843 104759
"LW174-Extraction183" 146165 145639 120134 119802
"LW175-Extraction184" 149375 148852 124113 123732
"LW176-Extraction185" 136273 134474 103315 103128
