"input" "filtered" "tabled" "nonchim"
"LW177-Extraction186" 98686 98088 79965 79961
"LW178-Extraction187" 122034 121622 99466 99463
"LW179-Extraction188" 142925 142131 123071 122999
"LW180-Extraction189" 71265 70173 59008 59008
"LW181-Extraction190" 123360 121910 101393 101262
"LW182-Extraction191" 55562 54345 46979 46979
"LW183-Extraction192" 39737 38730 25528 25528
"LW184-Extraction208" 21692 21544 8473 8459
"LW185-Extraction209" 16412 16363 14075 13999
"LW186-Extraction210" 23496 22888 7624 7624
"LW187-Extraction211" 54697 54234 46473 46473
"LW188-Extraction212" 40289 40175 23716 23463
"LW189-Extraction213" 17782 17654 4353 4353
"LW190-Extraction17" 123626 123508 80351 80233
"LW191-Extraction18" 127706 127602 88393 88182
"LW2-Extraction118" 143680 143283 100104 99267
"LW21-Extraction53" 29419 27928 7532 7532
"LW22-Extraction54" 102404 102378 15697 15697
"LW23-Extraction55" 14679 13932 8168 8168
"LW24-Extraction56" 105243 105100 18611 18611
"LW25-Extraction57" 106047 105867 22051 22036
"LW26-Extraction58" 114009 113867 16796 16796
"LW28-Extraction65" 64857 64810 11028 11028
"LW29-Extraction66" 86633 86505 20574 20574
"LW3-Extraction119" 176235 175389 120937 120386
"LW30-Extraction67" 139940 139910 36442 35979
"LW31-Extraction73" 10422 10055 3738 3738
"LW32-Extraction74" 11590 11067 6101 6101
"LW33-Extraction173" 29022 22492 11186 10976
"LW34-Extraction71" 32023 17968 5824 5824
"LW35-Extraction70" 30571 30416 9934 9934
"LW36-Extraction72" 15414 13636 5110 5110
"LW37-Extraction20" 24506 13188 7157 7157
"LW4-Extraction120" 145637 144858 115471 115292
"LW40-Extraction60" 15734 12047 7864 7864
"LW41-Extraction61" 10546 9971 5127 5127
"LW42-Extraction62" 8565 7154 4102 4102
"LW43-Extraction63" 13680 12222 7933 7933
"LW44-Extraction64" 14469 14301 7152 7152
"LW47-Extraction79" 14053 13579 6256 6256
"LW48-Extraction80" 10825 8984 4186 4110
"LW5-Extraction121" 129533 128605 100239 100091
"LW50-Extraction84" 11060 8608 4778 4736
"LW51-Extraction75" 13257 12470 7441 7441
"LW52-Extraction77" 6665 6067 3393 3393
"LW54-Extraction81" 7157 5592 3652 3652
"LW56-Extraction86" 27175 19919 8525 8525
"LW57-Extraction156" 66276 65673 17260 17260
"LW58-Extraction157" 61388 61190 15192 15192
"LW59-Extraction158" 120811 120754 92711 92641
"LW6-Extraction122" 105388 105184 68802 68739
"LW60-Extraction159" 104980 104899 15831 15812
"LW61-Extraction160" 74791 74679 21990 21966
"LW62-Extraction161" 76262 76220 23970 23931
"LW63-Extraction162" 75780 75676 28349 28324
"LW64-Extraction163" 51613 51190 27565 27565
"LW65-Extraction164" 12852 12647 7242 7242
"LW66-Extraction165" 17179 17015 10552 10552
"LW67-Extraction166" 10781 10753 5269 5269
"LW68-Extraction167" 18326 18066 12115 12115
"LW69-Extraction22" 9121 8987 4910 4910
"LW7-Extraction123" 136634 136308 118312 118039
"LW70-Extraction25" 10352 8391 4838 4838
"LW71-Extraction26" 7461 7238 3039 3039
"LW72-Extraction99" 22392 4351 2294 2266
"LW73-Extraction100" 155618 155498 141243 140591
"LW74-Extraction113" 11000 10983 4707 4707
"LW75-Extraction114" 153187 153160 143983 134710
"LW76-Extraction115" 205586 205219 178229 178152
"LW77-Extraction87" 206812 206586 45859 38460
"LW78-Extraction88" 211803 211762 31477 29894
"LW79-Extraction89" 215816 215777 35979 32256
"LW8-Extraction124" 119927 112925 94627 94627
"LW80-Extraction90" 178945 178847 32039 29184
"LW81-Extraction91" 156195 156164 35950 31682
"LW82-Extraction92" 9928 7876 4264 4264
"LW83-Extraction93" 159910 159788 149943 149943
"LW84-Extraction94" 26323 21950 1787 1756
"LW85-Extraction95" 11777 4959 2544 2544
"LW87-Extraction97" 9270 4611 2111 2111
"LW88-Extraction98" 8992 8699 3648 3648
"LW9-Extraction125" 100637 99288 76179 75772
