"input" "filtered" "tabled" "nonchim"
"LW11-29" 114465 41902 39824 37601
"LW116-134" 247729 10020 9340 9262
"LW117-135" 211143 33347 31127 25927
"LW119-137" 140603 34014 31578 26221
"LW12-30" 77742 72038 69528 63097
"LW121-140" 199149 3318 3010 3010
"LW124-143" 210916 17403 16339 15680
"LW127-152" 177589 3684 1048 1048
"LW129-154" 142695 72380 67484 52699
"LW13-31" 158959 154855 121589 69095
"LW130-145" 207064 3437 348 348
"LW131-146" 197487 2994 2707 2707
"LW134-148" 198310 8989 6356 6303
"LW135-150" 132021 22575 21579 21214
"LW136-49" 74326 72930 69547 62370
"LW137-50" 113466 112455 104866 77468
"LW138-51" 69930 69219 64692 54693
"LW139-52" 88308 87752 84514 69988
"LW14-32" 166813 78467 71098 57008
"LW140-85" 32358 31608 30849 30849
"LW141-39" 104450 100596 86139 48422
"LW142-40" 101132 100281 83457 62523
"LW143-41" 100014 67809 63662 47832
"LW144-42" 74739 74160 68903 55230
"LW145-43" 75870 75319 69347 53391
"LW146-44" 65917 58091 55729 50807
"LW147-45" 76067 72660 67930 54214
"LW148-46" 79242 64946 60058 51183
"LW149-47" 120346 118711 105419 66964
"LW15-33" 63770 63174 58979 51830
"LW150-48" 67701 65558 64349 62753
"LW152-169" 96107 95051 89580 69496
"LW153-170" 63555 61236 56537 48527
"LW16-34" 70701 69659 66702 59240
"LW163-138" 144914 19234 15384 14121
"LW164-144" 143185 28539 26147 24504
"LW17-35" 83544 77590 71890 57161
"LW18-36" 76225 75650 71347 62219
"LW19-37" 155581 78540 72650 54194
"LW20-38" 73855 44522 42857 41450
"LW27-69" 212006 51239 49323 45844
"LW38-214" 136347 83993 74780 48280
"LW39-59" 159121 64095 56275 43219
"LW45-68" 134143 60547 54736 45630
"LW46-76" 157240 26766 23532 19363
"LW49-83" 127514 57380 53103 40248
"LW52-77" 219175 41391 38301 34515
"LW53-78" 245651 19010 15716 15429
"LW54-81" 207543 34403 31582 26617
"LW55-82" 190139 47106 43013 33829
"LW86-96" 266845 5068 4670 4670
"LW87-97" 199107 3058 273 273
"LW89-27" 93623 92870 80709 60889
"LW90-28" 87138 80682 74241 55173
"LW91-21" 122864 122349 99860 66112
"LW92-9" 113734 110046 97315 67154
"LW93-10" 143282 48961 46673 43117
"LW94-11" 76443 75678 73151 69991
"LW95-12" 92799 92260 86220 72877
"LW97-13" 81885 73197 67592 54713
"LW98-14" 10475 7906 7432 7427
"LW99-15" 68924 68615 63060 55510
