"input" "filtered" "tabled" "nonchim"
"LW1-Extraction117" 157499 156882 153585 152700
"LW10-Extraction126" 145087 144558 140969 140502
"LW100-Extraction101" 84332 84280 82905 82901
"LW101-Extraction102" 91213 91022 89351 89267
"LW102-Extraction105" 49550 49382 47255 47255
"LW103-Extraction106" 63989 63679 62626 62626
"LW104-Extraction108" 57705 56934 55848 55848
"LW105-Extraction116" 71767 71077 69783 69780
"LW106-Extraction103" 24645 23886 23290 23290
"LW107-Extraction104" 91451 91230 90076 89972
"LW108-Extraction107" 81886 81636 80415 80415
"LW109-Extraction109" 153137 152855 150707 144611
"LW110-Extraction127" 101634 101518 98767 97473
"LW111-Extraction128" 43361 43213 42071 42071
"LW112-Extraction129" 87728 87461 85840 85835
"LW113-Extraction130" 44602 44016 43275 43275
"LW114-Extraction131" 14900 14706 14407 14404
"LW115-Extraction112" 28404 24694 23954 23843
"LW118-Extraction136" 10484 9321 8547 8547
"LW119-Extraction137" 6375 4620 4400 4400
"LW120-Extraction139" 48379 48170 45509 44763
"LW122-Extraction141" 6781 6417 6200 6200
"LW123-Extraction142" 25510 23204 22465 22465
"LW125-Extraction133" 19448 19108 18583 18583
"LW126-Extraction151" 11627 9556 8998 8998
"LW127-Extraction152" 7741 5720 5492 5492
"LW128-Extraction153" 23303 18660 18047 18047
"LW129-Extraction154" 6356 6097 5864 5864
"LW132-Extraction149" 46250 43615 42832 42832
"LW133-Extraction147" 12214 5627 5442 5442
"LW151-Extraction172" 24438 23362 22473 22198
"LW154-Extraction176" 115504 114433 110225 109868
"LW155-Extraction178" 204817 204237 200944 198092
"LW156-Extraction180" 173134 172382 167513 166765
"LW157-Extraction175" 136400 134319 130084 129759
"LW158-Extraction177" 263567 262816 261504 261438
"LW159-Extraction179" 224744 224196 222438 221467
"LW160-Extraction132" 90257 86488 84890 84874
"LW161-Extraction110" 43903 43331 42501 42501
"LW162-Extraction111" 55249 54107 53021 53021
"LW163-Extraction138" 6164 5782 5578 5578
"LW165-Extraction155" 14152 10311 9933 9933
"LW166-Extraction1" 66290 64842 62045 61943
"LW167-Extraction2" 46300 45393 43502 43288
"LW168-Extraction3" 34601 28716 27672 27580
"LW169-Extraction4" 29810 26918 25556 25556
"LW170-Extraction19" 106085 105792 98924 98276
"LW171-Extraction6" 90165 89052 87104 87013
"LW172-Extraction181" 144032 143138 137928 137360
"LW173-Extraction182" 134847 133413 129875 129621
"LW174-Extraction183" 146165 145495 141423 141172
"LW175-Extraction184" 149375 148662 145207 144707
"LW176-Extraction185" 136273 134316 130228 129958
"LW177-Extraction186" 98686 97924 95517 95517
"LW178-Extraction187" 122034 121417 118534 118520
"LW179-Extraction188" 142925 141863 139732 139512
"LW180-Extraction189" 71265 70027 68004 67852
"LW181-Extraction190" 123360 121640 119169 118968
"LW182-Extraction191" 55562 54186 52889 52889
"LW183-Extraction192" 39737 38563 37513 37510
"LW184-Extraction208" 21692 21512 20054 20054
"LW185-Extraction209" 16412 15865 15611 15611
"LW186-Extraction210" 23496 22688 22092 21683
"LW187-Extraction211" 54697 54210 53509 53509
"LW188-Extraction212" 40289 40103 39391 39391
"LW189-Extraction213" 17782 17636 17188 17188
"LW190-Extraction17" 123626 123416 115300 114705
"LW191-Extraction18" 127706 127551 120567 119961
"LW2-Extraction118" 143680 143138 136876 135574
"LW21-Extraction53" 29419 27579 27126 27126
"LW22-Extraction54" 102404 102345 100638 100459
"LW23-Extraction55" 14679 13808 13439 13423
"LW24-Extraction56" 105243 105045 103285 103238
"LW25-Extraction57" 106047 105742 103641 103526
"LW26-Extraction58" 114009 113779 111690 111685
"LW28-Extraction65" 64857 64780 63640 63640
"LW29-Extraction66" 86633 86475 80854 79761
"LW3-Extraction119" 176235 175233 168692 165925
"LW30-Extraction67" 139940 139868 136900 135445
"LW31-Extraction73" 10422 10031 9726 9659
"LW32-Extraction74" 11590 10919 10354 10354
"LW33-Extraction173" 29022 22096 21211 21094
"LW34-Extraction71" 32023 16616 16140 16140
"LW35-Extraction70" 30571 30317 30076 30062
"LW36-Extraction72" 15414 13413 12973 12973
"LW37-Extraction20" 24506 12972 11233 11233
"LW4-Extraction120" 145637 144708 140076 139757
"LW40-Extraction60" 15734 11753 11451 11416
"LW41-Extraction61" 10546 9627 9296 9296
"LW42-Extraction62" 8565 6458 6275 6275
"LW43-Extraction63" 13680 11789 11397 11397
"LW44-Extraction64" 14469 13615 13111 13111
"LW47-Extraction79" 14053 13508 13025 13025
"LW48-Extraction80" 10825 8641 8394 8394
"LW5-Extraction121" 129533 128383 124655 124176
"LW50-Extraction84" 11060 8285 7882 7882
"LW51-Extraction75" 13257 12404 12120 12120
"LW52-Extraction77" 6665 6037 5720 5719
"LW54-Extraction81" 7157 5522 5185 5115
"LW56-Extraction86" 27175 19629 18736 18736
"LW57-Extraction156" 66276 64830 62973 62970
"LW58-Extraction157" 61388 60628 59140 59140
"LW59-Extraction158" 120811 120496 118088 116999
"LW6-Extraction122" 105388 105110 98652 97597
"LW60-Extraction159" 104980 104578 100199 99758
"LW61-Extraction160" 74791 74347 72149 71952
"LW62-Extraction161" 76262 76041 72783 72667
"LW63-Extraction162" 75780 75323 72604 72569
"LW64-Extraction163" 51613 50663 48360 48337
"LW65-Extraction164" 12852 12106 11583 11583
"LW66-Extraction165" 17179 16437 15823 15823
"LW67-Extraction166" 10781 10534 10132 10104
"LW68-Extraction167" 18326 17220 16664 16664
"LW69-Extraction22" 9121 8858 8452 8452
"LW7-Extraction123" 136634 136166 133399 133033
"LW70-Extraction25" 10352 8160 7792 7747
"LW71-Extraction26" 7461 7220 6917 6917
"LW72-Extraction99" 22392 3969 3808 3808
"LW73-Extraction100" 155618 155404 149964 148573
"LW74-Extraction113" 11000 10924 10224 10224
"LW75-Extraction114" 153187 153086 143974 134762
"LW76-Extraction115" 205586 205100 193198 192933
"LW77-Extraction87" 206812 206492 201121 185787
"LW78-Extraction88" 211803 211709 207711 203910
"LW79-Extraction89" 215816 215711 207542 191289
"LW8-Extraction124" 119927 112698 110490 110452
"LW80-Extraction90" 178945 178814 168352 152594
"LW81-Extraction91" 156195 156119 151036 138568
"LW82-Extraction92" 9928 7389 7059 7016
"LW83-Extraction93" 159910 159740 153679 153679
"LW84-Extraction94" 26323 21737 21478 21478
"LW85-Extraction95" 11777 4872 3764 3762
"LW87-Extraction97" 9270 4494 4121 4121
"LW88-Extraction98" 8992 8504 8044 8044
"LW9-Extraction125" 100637 99095 95177 94641
